timestamp,beats per minute
2024-10-30T11:27:40Z,87.0
2024-10-30T11:27:42Z,88.0
2024-10-30T11:27:44Z,90.0
2024-10-30T11:27:47Z,90.0
2024-10-30T11:27:48Z,88.0
2024-10-30T11:27:51Z,88.0
2024-10-30T11:27:54Z,90.0
2024-10-30T11:27:56Z,94.0
2024-10-30T11:27:58Z,99.0
2024-10-30T11:27:59Z,100.0
2024-10-30T11:28:01Z,96.0
2024-10-30T11:28:03Z,88.0
2024-10-30T11:28:05Z,85.0
2024-10-30T11:28:07Z,82.0
2024-10-30T11:28:10Z,82.0
2024-10-30T11:28:11Z,85.0
2024-10-30T11:28:13Z,86.0
2024-10-30T11:28:15Z,85.0
2024-10-30T11:28:17Z,84.0
2024-10-30T11:28:19Z,86.0
2024-10-30T11:28:21Z,87.0
2024-10-30T11:28:23Z,86.0
2024-10-30T11:28:24Z,85.0
2024-10-30T11:28:27Z,85.0
2024-10-30T11:28:28Z,84.0
2024-10-30T11:28:31Z,84.0
2024-10-30T11:28:32Z,83.0
2024-10-30T11:28:35Z,83.0
2024-10-30T11:28:38Z,84.0
2024-10-30T11:28:40Z,85.0
2024-10-30T11:28:42Z,86.0
2024-10-30T11:28:45Z,86.0
2024-10-30T11:28:46Z,85.0
2024-10-30T11:28:49Z,85.0
2024-10-30T11:28:51Z,87.0
2024-10-30T11:28:53Z,89.0
2024-10-30T11:28:55Z,90.0
2024-10-30T11:28:57Z,89.0
2024-10-30T11:29:00Z,89.0
2024-10-30T11:29:01Z,90.0
2024-10-30T11:29:03Z,92.0
2024-10-30T11:29:06Z,92.0
2024-10-30T11:29:07Z,90.0
2024-10-30T11:29:09Z,88.0
2024-10-30T11:29:11Z,86.0
2024-10-30T11:29:12Z,84.0
2024-10-30T11:29:15Z,84.0
2024-10-30T11:29:18Z,84.0
2024-10-30T11:29:20Z,85.0
2024-10-30T11:29:22Z,86.0
2024-10-30T11:29:24Z,87.0
2024-10-30T11:29:26Z,87.0
2024-10-30T11:29:28Z,86.0
2024-10-30T11:29:31Z,86.0
2024-10-30T11:29:34Z,85.0
2024-10-30T11:29:37Z,85.0
2024-10-30T11:29:39Z,84.0
2024-10-30T11:29:42Z,84.0
2024-10-30T11:29:43Z,85.0
2024-10-30T11:29:46Z,85.0
2024-10-30T11:29:47Z,84.0
2024-10-30T11:29:49Z,83.0
2024-10-30T11:29:51Z,82.0
2024-10-30T11:29:54Z,82.0
2024-10-30T11:29:57Z,81.0
2024-10-30T11:29:59Z,80.0
